CODIGO;PROYECTO;NOMCLI;LATITUD;UBICACIÓN;LONGITUD;FECHA
82196;Ruta Hugo Lunes;82196,KIOSCO LOS ABUE;-34,73436305;"Marcador 36
2024/10/18 @ 17:27:14
http://maps.google.com/?q=-34.73436305178214,-55.768308788537986";-55,76830879;2024-10-26 00:00:00
41910;Ruta Hugo Lunes;41910, MILUCHA ELBIA;-34,73627;"Marcador 92
lat/lng: (-34.73627,-55.76566)
[http://maps.google.com/?q=-34.73627163123855,-55.76566178351641](http://maps.google.com/?q=-34.73627163123855,-55.76566178351641)";-55,76566;2024-04-27 00:00:00
82194;Ruta Hugo Lunes;82194,POLLERIA OLIMPIA;-34,73770281;[http://maps.google.com/?q=-34.737702808342874,-55.76445797458291](http://maps.google.com/?q=-34.737702808342874,-55.76445797458291);-55,76445797;2024-04-27 00:00:00
82019;Ruta Hugo Lunes; Kiosco (estacion atlantida. gariboti);-34,74046583;http://maps.google.com/?q=-34.74046583250509,-55.76476257294416;-55,76476257;2024-04-27 00:00:00
41040;Ruta Hugo Lunes;41040, PANADERIA MAURI;-34,74153;"Marcador 93
lat/lng: (-34.74153,-55.76369)
[http://maps.google.com/?q=-34.741531775365516,-55.76368700712919](http://maps.google.com/?q=-34.741531775365516,-55.76368700712919)";-55,76369;2024-04-27 00:00:00
41128;Ruta Hugo Lunes;41128, RICARDO DELGADO;-34,74453;"Marcador 98
lat/lng: (-34.74453,-55.7656)
[http://maps.google.com/?q=-34.7445333679156,-55.76560277491808](http://maps.google.com/?q=-34.7445333679156,-55.76560277491808)";-55,7656;2024-04-27 00:00:00
82116;Ruta Hugo Lunes;82116,KIOSCO LOS PARAISOS;-34,74701;"Marcador 346
lat/lng: -34.74701,-55.76863
[http://maps.google.com/?q=-34.747014730642796,-55.768625624477856](http://maps.google.com/?q=-34.747014730642796,-55.768625624477856)";-55,76863;2024-04-27 00:00:00
41935;Ruta Hugo Lunes;41935, AQUÍ Y AHORA;-34,76367;"Marcador 116
lat/lng: (-34.76367,-55.75881)
[http://maps.google.com/?q=-34.763674873634116,-55.75881142169237](http://maps.google.com/?q=-34.763674873634116,-55.75881142169237)";-55,75881;2024-04-27 00:00:00
82169;Ruta Hugo Lunes;;;;;
11899;Ruta Hugo Lunes;11899, JUAN PABLO TARTARO;-34,76769;"Marcador 170
lat/lng: (-34.76769,-55.7395)
[http://maps.google.com/?q=-34.76768728381761,-55.739501528441906](http://maps.google.com/?q=-34.76768728381761,-55.739501528441906)";-55,7395;2024-04-27 00:00:00
82126;Ruta Hugo Lunes;82126,PUESTO GABRIEL;-34,75120591;"Marcador 42
2024/10/21 @ 15:28:39
http://maps.google.com/?q=-34.75120590725364,-55.71392968297005";-55,71392968;2024-10-26 00:00:00
11867;Ruta Hugo Lunes;11867, ALEJANDRO MARTINEZ (S);-34,76165;"Marcador 173
lat/lng: (-34.76165,-55.74166)
[http://maps.google.com/?q=-34.76164931462309,-55.74165634810924](http://maps.google.com/?q=-34.76164931462309,-55.74165634810924)";-55,74166;2024-04-27 00:00:00
11915;Ruta Hugo Lunes;11915, AGENCIA FCO.NUÑEZ URRETA;-34,7554;"Marcador 123
lat/lng: (-34.7554,-55.72715)
[http://maps.google.com/?q=-34.75539742210213,-55.72714559733868](http://maps.google.com/?q=-34.75539742210213,-55.72714559733868)";-55,72715;2024-04-27 00:00:00
82157;Ruta Hugo Lunes;82157,LA Esperanza (Estación Atlantida);-34,733856;http://maps.google.com/?q=-34.733856,-55.769263;-55,769263;2024-10-16 00:00:00
