PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Lunes;11975, DUNAS,PARQUE DEL PLATA NORTE (3%dto);"??????/// Marcador 134
lat/lng: (-34.74643,-55.71194)
[http://maps.google.com/?q=-34.74642711145462,-55.711940824985504](http://maps.google.com/?q=-34.74642711145462,-55.711940824985504)";;2025-02-03T03:00:00.000Z;cada lunes;1;26988122;2236031334;8176609715;;11975;Ruta;1;11975;;
Ruta Dario Lunes;41938, ROSMARI;"??/// Marcador 96
lat/lng: (-34.7458,-55.75967)
[http://maps.google.com/?q=-34.7458022965931,-55.75966536998749](http://maps.google.com/?q=-34.7458022965931,-55.75966536998749)";;2025-02-03T03:00:00.000Z;cada lunes;2;26988122;2236031334;8323068144;;41938;Ruta;1;41938;;
Ruta Dario Lunes;41939, LORENA;"??/// Marcador 101
lat/lng: (-34.74895,-55.76612)
[http://maps.google.com/?q=-34.74895304540647,-55.76611842960119](http://maps.google.com/?q=-34.74895304540647,-55.76611842960119)";;2025-02-03T03:00:00.000Z;cada lunes;3;26988122;2236031334;8323070298;;41939;Ruta;1;41939;;
Ruta Dario Lunes;41971,PIZZERIA EL PAPO;"????/// Marcador 22
lat/lng: -34.74857,-55.76248
[http://maps.google.com/?q=-34.748572052790365,-55.762481689453125](http://maps.google.com/?q=-34.748572052790365,-55.762481689453125)";;2025-02-03T03:00:00.000Z;CADA LUNES;4;26988122;2236031334;8323071352;;41971;Ruta;1;41971;;
Ruta Dario Lunes;82191,EL GALPON;??/// http://maps.google.com/?q=-34.7569682,-55.7669689;;2025-02-03T12:00:00.000Z;cada lun 9:00;5;26988122;2236031334;8323074357;;82191;Ruta;1;82191;;
Ruta Dario Lunes;11629, MOUNTLINE S.A.;"??/// Marcador 174
lat/lng: (-34.7604,-55.73827)
[http://maps.google.com/?q=-34.76039963505636,-55.73827106505633](http://maps.google.com/?q=-34.76039963505636,-55.73827106505633)";;2025-02-03T12:00:00.000Z;cada lun 9:00;6;26988122;2236031334;8323077781;;11629;Ruta;1;11629;;
Ruta Dario Lunes;62783,ANDREA ESCOBAR;??/// http://maps.google.com/?q=-34.77445792141012,-55.75941324234008;;2025-02-03T12:00:00.000Z;cada lun 9:00;7;26988122;2236031334;8323080039;;62783;Ruta;1;62783;;
Ruta Dario Lunes;81145,KIOSCO AVENIDA;????///;;2025-02-03T03:00:00.000Z;cada lun;8;26988122;2236031334;8323081932;;81145;Ruta;1;81145;;
Ruta Dario Lunes;22351, SANDRA GERVASINI ( siempre sacar recibo del dia) no tiene crédito;????/// http://maps.google.com/?q=-34.765865087662426,-55.584125854074955;;2025-02-03T03:00:00.000Z;cada lunes;9;26988122;2236031334;5101461758;;22351;Ruta;1;22351;;
Ruta Dario Lunes;22138, RODRIGUEZ Y CALOCA (crédito siempre y se le cobra los Lun);??/// http://maps.google.com/?q=-34.76594027883759,-55.58412417769432;;2025-02-03T03:00:00.000Z;cada lunes;10;26988122;2236031334;3898369481;;22138;Ruta;1;22138;;
Ruta Dario Lunes;80100,FACUNDO MARTINEZ ( Super Cerca);????/// http://maps.google.com/?q=-34.77104926233962,-55.58821521699428;;2025-02-03T03:00:00.000Z;cada lunes;11;26988122;2236031334;4218572460;;80100;Ruta;1;80100;;
Ruta Dario Lunes;23040, Y LOCO? (mandar msj);??/// http://maps.google.com/?q=-34.77709948715162,-55.57833261787891;;2025-02-03T03:00:00.000Z;cada lunes;12;26988122;2236031334;3898369524;;23040;Ruta;1;23040;;
Ruta Dario Lunes;23190, LILIAN PALERMO ( EL NUEVO );??/// http://maps.google.com/?q=-34.77396771329382,-55.57382985949516;;2025-02-03T03:00:00.000Z;cada lunes;13;26988122;2236031334;4943208516;;23190;Ruta;1;23190;;
Ruta Dario Lunes;22360, CLAUDIA DAMIAN (Super Lilo);????///;;2025-02-03T03:00:00.000Z;cada lunes;14;26988122;2236031334;5101484909;;22360;Ruta;1;22360;;
Ruta Dario Lunes;23055, ROTEPARI ( Pablito charlatán Sta Lucía Este );??/// http://maps.google.com/?q=-34.78872748444973,-55.53522348403931;;2025-02-03T03:00:00.000Z;cada lunes;15;26988122;2236031334;3898369563;;23055;Ruta;1;23055;;
Ruta Dario Lunes;23230, KASI 24  ALEJANDRA ALVAREZ;??????/// http://maps.google.com/?q=-34.791217981869686,-55.49223940819501;;2025-02-03T03:00:00.000Z;cada lunes;16;26988122;2236031334;5101488539;;23230;Ruta;1;23230;;
Ruta Dario Lunes;22873, MINIMERCADO NICO ( Rotonda Cuchilla Alta );????/// http://maps.google.com/?q=-34.792868910290565,-55.49237184226512;;2025-02-03T03:00:00.000Z;CADA LUNES;17;26988122;2236031334;5119219019;;22873;Ruta;1;22873;;
Ruta Dario Lunes;22038, BAR LA PLAZITA (Es un Kiosco pegado a Mini Nico );??/// http://maps.google.com/?q=-34.79304402350773,-55.49204461276531;;2025-02-03T03:00:00.000Z;cada lunes;18;26988122;2236031334;3898369667;;22038;Ruta;1;22038;;
Ruta Dario Lunes;80280,4 SOLES ( Abigail );??/// http://maps.google.com/?q=-34.790882, -55.477888;;2025-02-03T03:00:00.000Z;CADA LUNES;19;26988122;2236031334;8009768754;;80280;Ruta;1;80280;;
Ruta Dario Lunes;22759, ALCINA HNOS LTDA  ( Sacar la factura más vieja );????/// http://maps.google.com/?q=-34.7890557002422,-55.4666994139552;;2025-02-03T03:00:00.000Z;CADA LUNES;20;26988122;2236031334;5101514927;;22759;Ruta;1;22759;;
Ruta Dario Lunes;22903, LOS 5 ( Sacar de las boleta más vieja);??/// http://maps.google.com/?q=-34.78762387680252,-55.46281054615974;;2025-02-03T03:00:00.000Z;CADA LUNES;21;26988122;2236031334;4588828290;;22903;Ruta;1;22903;;
Ruta Dario Lunes;80189, EL RANCHO (Claudia Damián ) Super Sobre ruta Cuchilla Alta;"??/// Marcador 68
2024/10/28 @ 13:10:16
http://maps.google.com/?q=-34.7833817,-55.4916125";;2025-02-03T03:00:00.000Z;cada lunes;22;26988122;2236031334;6330352611;;80189;Ruta;1;80189;;
Ruta Dario Lunes;22049, JUAN CARLOS DIAZ ( Super Toton );??/// http://maps.google.com/?q=-34.792933063446306,-55.496172532439225;;2025-02-03T03:00:00.000Z;cada lunes;23;26988122;2236031334;3898369688;;22049;Ruta;1;22049;;
Ruta Dario Lunes;80233,MINIMARKET Y ROTI EL REPECHO;"????/// Marcador 62
2024/10/28 @ 10:59:28
http://maps.google.com/?q=-34.7690565,-55.577955";;2025-02-03T03:00:00.000Z;cada lunes;24;26988122;2236031334;8191500056;;80233;Ruta;1;80233;;
