CODIGO;CODIGO2;UBICACIÓN;FECHA;ORIGEN;CODCLI2;TAREAS
62619;62619, LETICIA COSTA;https://maps.app.goo.gl/JhiEkkF7XM52CKQy8;4/2/2025;agregados_adrian;62619;62619
80052;80052, MARJU. ( Cuchilla Alta) Visita cada dos meses;http://maps.google.com/?q=-34.79021509999347,-55.499287799987385;31/1/2025;agregados_adrian;80052;80052
80320;80320,24 HORAS SALINAS;http://maps.google.com/?q=-34.775295,-55.844596;31/1/2025;agregados_adrian;80320;80320
82100;82100,Almacen La Cabaña (City Golf);http://maps.google.com/?q=-34.75652184461161,-55.765985660254955;31/1/2025;agregados_adrian;82100;82100
82012;82012, Almacen 23 (pinamar norte. gonzalo), Visita cada dos meses;http://maps.google.com/?q=-34.766598818400766,-55.851869992911816;31/1/2025;agregados_adrian;82012;82012
81100;81100, MARY PELUFO. Consulta por baja en las ventas.;http://maps.google.com/?q=-34.75503243600178,-55.7672405987978;31/1/2025;agregados_adrian;81100;81100
80313;80313,SOL Y AGU;http://maps.google.com/?q=-34.770816,-55.575468;14/12/2024;agregados_adrian;80313;80313
80315;80315,CASA NEPTUNO;http://maps.google.com/?q=-34.782554,-55.556325;14/12/2024;agregados_adrian;80315;80315
80309;80309,LOS HERMANOS;http://maps.google.com/?q=-34.734095,-55.767212;14/12/2024;agregados_adrian;80309;80309
80314;80314,MARALI;http://maps.google.com/?q=-34.761454,-55.747426;14/12/2024;agregados_adrian;80314;80314
81104;81104, EL COMIENZO;http://maps.google.com/?q=-34.764847,-55.825276;14/12/2024;agregados_adrian;81104;81104
81125;81125,SALINAS NORTE TUYO;https://www.google.com/maps/place/34%C2%B046'07.6%22S+55%C2%B050'49.7%22W/@-34.768765,-55.847124,17z/data=!3m1!4b1!4m4!3m3!8m2!3d-34.768765!4d-55.847124?entry=ttu&g_ep=EgoyMDI0MTExMi4wIKXMDSoASAFQAw%3D%3D;15/11/2024;agregados_adrian;81125;81125
81199;81199,SUPER KIOSCO LA 3;http://maps.google.com/?q=-34.76409353070743,-55.729788579046726;15/11/2024;agregados_adrian;81199;81199
